nome_uasg;sigla_uf;municipio;n
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;SP;SAO PAULO;30
SUPERINT. DE ADMINISTRACAO EM SAO PAULO;SP;SAO PAULO;17
MEC-UNIVERSIDADE FEDERAL DE SAO PAULO/SP;SP;SAO PAULO;14
BASE AEREA DE SAO PAULO;SP;GUARULHOS;10
NUCLEO DO HOSPITAL DE FORÇA AEREA DE S.PAULO;SP;SAO PAULO; 9
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC;SP;SANTO ANDRE; 6
INSTIT.NAC.DE PESQ.ESPACIAIS-S.J.CAMPOS - MCT;SP;SAO JOSE DOS CAMPOS; 6
PARQUE DE MATERIAL AERONAUTICO DE SAO PAULO;SP;SAO PAULO; 6
CIA, DE ENTREPOSTOS E ARMAZENS GER. DE SP;SP;SAO PAULO; 5
CONAB-SEDE SUREG/SP;SP;SAO PAULO; 5
2 GRUPO DE ARTILHARIA ANTIAEREA;SP;PRAIA GRANDE; 4
COORD.DE VIG.DE PORTOS,AEROPORTOS E FRONT.SP;SP;SAO PAULO; 4
ESCRITORIO DE REPRES. DO MINIST. DA SAUDE/SP;SP;SAO PAULO; 4
FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;SP;SAO CARLOS; 4
GERENCIA REGIONAL EM SÃO PAULO;SP;SAO PAULO; 4
LABORATORIO NACIONAL AGROPECUARIO LANAGRO/SP;SP;CAMPINAS; 4
CINEMATECA BRASILEIRA;SP;SAO PAULO; 3
COMISSAO NACIONAL DE ENERGIA NUCLEAR;SP;SAO PAULO; 3
DEL. ESPECIAL DA INSTITUICOES FINANCEIRA - SP;SP;SAO PAULO; 3
DELEG.ESP.DA RFB DE FISC DE COM. EXTERIOR;SP;SAO PAULO; 3
IBAMA - SUPERINTENDENCIA ESTADUAL/SP;SP;SAO PAULO; 3
IV COMANDO AEREO REGIONAL;SP;SAO PAULO; 3
PROCURADORIA REG.DO TRABALHO 2A. REGIAO - SP;SP;SAO PAULO; 3
SUPERINT.FED. DE AGRIC.PECUARIA E ABASTEC./SP;SP;SAO PAULO; 3
COMANDO 8 DISTRITO NAVAL - SP;SP;SAO PAULO; 2
CONSELHO REG. DE FARMACIA DE SAO PAULO;SP;SAO PAULO; 2
